emission_rate,steady_T,steady_CO2,steady_C_active,steady_C_deep
1.302013422818791888e+01,-4.483429335735057464e+01,1.245006392785508979e+03,2.097343436987439070e-06,7.974957461479674521e+02
1.315436241610738222e+01,-4.482103797480112206e+01,1.251717813808579649e+03,2.108815320581818590e-06,7.974957454106917112e+02
1.328859060402684555e+01,-4.480785309326112298e+01,1.258429210735161405e+03,2.120287081452381545e-06,7.974957446685389186e+02
1.342281879194630889e+01,-4.479473856557837053e+01,1.265140624952991857e+03,2.131758641154295382e-06,7.974957439214999795e+02
1.355704697986577223e+01,-4.478169339298318619e+01,1.271852036277077332e+03,2.143229909981265272e-06,7.974957431695695504e+02
1.369127516778523557e+01,-4.476871687865169491e+01,1.278563444989342997e+03,2.154700854455059364e-06,7.974957424127419472e+02
1.382550335570469890e+01,-4.475580827488526126e+01,1.285274867953450894e+03,2.166171444021225664e-06,7.974957416510108033e+02
1.395973154362416047e+01,-4.474296695481486097e+01,1.291986258114508928e+03,2.177641655820249903e-06,7.974957408843708890e+02
1.409395973154362380e+01,-4.473019213519622639e+01,1.298697666678155656e+03,2.189111479242025011e-06,7.974957401128153833e+02
1.422818791946308714e+01,-4.471748315572845911e+01,1.305409076362016322e+03,2.200580902902559469e-06,7.974957393363388292e+02
1.436241610738255048e+01,-4.470483910148074358e+01,1.312120497602202249e+03,2.212049919712168450e-06,7.974957385549352011e+02
1.449664429530201382e+01,-4.469226003966388561e+01,1.318831897951863766e+03,2.223518531784431666e-06,7.974957377685988149e+02
1.463087248322147715e+01,-4.467974454656449979e+01,1.325543324036976628e+03,2.234986735922664988e-06,7.974957369773242135e+02
1.476510067114094049e+01,-4.466729232576439301e+01,1.332254717826981278e+03,2.246454533886630607e-06,7.974957361811042347e+02
1.489932885906040205e+01,-4.465490260795541388e+01,1.338966144725662616e+03,2.257921926762298031e-06,7.974957353799336488e+02
1.503355704697986539e+01,-4.464257490530403061e+01,1.345677536647425086e+03,2.269388921626280674e-06,7.974957345738067716e+02
1.516778523489932873e+01,-4.463030850201897692e+01,1.352388940661656306e+03,2.280855511763632097e-06,7.974957337627180323e+02
1.530201342281879207e+01,-4.461810276930851416e+01,1.359100370870149163e+03,2.292321703530199968e-06,7.974957329466615192e+02
1.543624161073825540e+01,-4.460595722014830500e+01,1.365811769717619882e+03,2.303787499929245904e-06,7.974957321256323439e+02
1.557046979865771874e+01,-4.459387115727244577e+01,1.372523191833869305e+03,2.315252904618961209e-06,7.974957312996239125e+02
1.570469798657718208e+01,-4.458184407270059069e+01,1.379234601893992249e+03,2.326717921661049706e-06,7.974957304686303132e+02
1.583892617449664364e+01,-4.456987539680813626e+01,1.385945994149714352e+03,2.338182553111342097e-06,7.974957296326465439e+02
1.597315436241610698e+01,-4.455796451941230174e+01,1.392657396439422428e+03,2.349646815635511470e-06,7.974957287916666928e+02
1.610738255033557209e+01,-4.454611087978035755e+01,1.399368809702542421e+03,2.361110687016720485e-06,7.974957279456855304e+02
1.624161073825503365e+01,-4.453431395810387983e+01,1.406080217970684998e+03,2.372574178305672258e-06,7.974957270946964627e+02
1.637583892617449521e+01,-4.452257320451151656e+01,1.412791630845043528e+03,2.384037307578001179e-06,7.974957262386938055e+02
1.651006711409396033e+01,-4.451088809427621129e+01,1.419503040561090302e+03,2.395500062275253299e-06,7.974957253776725565e+02
1.664429530201342189e+01,-4.449925810645524393e+01,1.426214445271788236e+03,2.406962451583004570e-06,7.974957245116277136e+02
1.677852348993288700e+01,-4.448768270652912094e+01,1.432925853630328220e+03,2.418424485429444635e-06,7.974957236405547292e+02
1.691275167785234856e+01,-4.447616138411662234e+01,1.439637268999331127e+03,2.429886148365647565e-06,7.974957227644456452e+02
1.704697986577181368e+01,-4.446469364596527640e+01,1.446348682795348395e+03,2.441347449308579070e-06,7.974957218832968238e+02
1.718120805369127524e+01,-4.445327901231485868e+01,1.453060085231187713e+03,2.452808396215743960e-06,7.974957209971016709e+02
1.731543624161073680e+01,-4.444191693658486741e+01,1.459771512911189802e+03,2.464268996530786037e-06,7.974957201058547298e+02
1.744966442953020191e+01,-4.443060702975241583e+01,1.466482918737751561e+03,2.475729248717346776e-06,7.974957192095505434e+02
1.758389261744966348e+01,-4.441934871263630669e+01,1.473194333306289309e+03,2.487189155791782501e-06,7.974957183081851326e+02
1.771812080536912859e+01,-4.440814162712341329e+01,1.479905722880315579e+03,2.498648730733574627e-06,7.974957174017537227e+02
1.785234899328859015e+01,-4.439698520786286906e+01,1.486617135491443150e+03,2.510107951731277055e-06,7.974957164902479008e+02
1.798657718120805526e+01,-4.438587904538409390e+01,1.493328543930602564e+03,2.521566840977164861e-06,7.974957155736640289e+02
1.812080536912751683e+01,-4.437482268172970379e+01,1.500039951779357125e+03,2.533025404124775969e-06,7.974957146519968774e+02
1.825503355704697839e+01,-4.436381575359271778e+01,1.506751371539460479e+03,2.544483619423348685e-06,7.974957137252406483e+02
1.838926174496644350e+01,-4.435285758240705434e+01,1.513462768915841252e+03,2.555941517631829510e-06,7.974957127933905667e+02
1.852348993288590506e+01,-4.434194797688760303e+01,1.520174175644215666e+03,2.567399080888163833e-06,7.974957118564407210e+02
1.865771812080537018e+01,-4.433108642443459502e+01,1.526885587331725901e+03,2.578856314628504080e-06,7.974957109143866774e+02
1.879194630872483174e+01,-4.432027249815635628e+01,1.533596995658623200e+03,2.590313241724904418e-06,7.974957099672226377e+02
1.892617449664429685e+01,-4.430950616166493461e+01,1.540308420288052275e+03,2.601769834446715293e-06,7.974957090149439409e+02
1.906040268456375841e+01,-4.429878602267106658e+01,1.547019827153696724e+03,2.613226112449341330e-06,7.974957080575454711e+02
1.919463087248321997e+01,-4.428811230642539698e+01,1.553731236486297803e+03,2.624682076129229522e-06,7.974957070950221123e+02
1.932885906040268509e+01,-4.427748491547085763e+01,1.560442639140711890e+03,2.636137728798675528e-06,7.974957061273680665e+02
1.946308724832214665e+01,-4.426690301874779010e+01,1.567154058399571568e+03,2.647593071937740252e-06,7.974957051545777631e+02
1.959731543624161176e+01,-4.425636635642888450e+01,1.573865467727358464e+03,2.659048108742201499e-06,7.974957041766455177e+02
1.973154362416107332e+01,-4.424587454558842836e+01,1.580576865989900170e+03,2.670502848680851276e-06,7.974957031935678060e+02
1.986577181208053844e+01,-4.423542705990740131e+01,1.587288283040092665e+03,2.681957275628593768e-06,7.974957022053400806e+02
2.000000000000000000e+01,-4.422502384814296050e+01,1.593999699504214050e+03,2.693411402912844845e-06,7.974957012119558613e+02
